id,nama,tanggal,jumlah
TRX00080,ZGDLX,2025-11-20,191.33
TRX00081,TGDZJ,2023-01-10,58.04
TRX00082,OFTDG,2025-09-22,496.58
TRX00083,QEINY,2025-03-23,540.0
TRX00084,TIIJL,2024-07-17,591.8
TRX00085,LYAHA,2025-08-05,514.29
TRX00086,CILCR,2025-01-25,408.94
TRX00087,MEXHI,2023-01-16,975.91
TRX00088,DYCJD,2023-05-17,480.47
TRX00089,BZNWD,2024-12-16,965.96
TRX00090,FECYL,2024-01-13,931.31
TRX00091,IYTSA,2025-03-29,461.19
TRX00092,SXLNM,2024-07-23,212.46
TRX00093,AIZFX,2025-05-17,14.82
TRX00094,ETQRC,2024-05-19,566.62
TRX00095,KVSIO,2023-03-15,598.28
TRX00096,AVBNV,2024-03-28,611.71
TRX00097,HIBCG,2025-11-19,631.04
TRX00098,QTTUU,2025-09-06,634.04
TRX00099,SMOBV,2025-05-26,824.31
TRX00100,KAQRA,2024-08-12,901.87
TRX00101,WKPVH,2025-08-27,100.69
TRX00102,SHGPN,2023-10-12,92.13
TRX00103,PCPVQ,2023-06-17,375.36
TRX00104,XFICB,2024-08-09,472.95
TRX00105,OPJSC,2023-05-11,815.74
TRX00106,MSCZA,2025-07-26,114.59
TRX00107,MREIY,2024-03-12,160.74
TRX00108,QYFAF,2024-04-12,268.33
TRX00109,CVVUJ,2023-11-03,122.82
TRX00110,XBCBF,2025-09-17,830.64
TRX00111,RFOEV,2025-08-22,936.04
TRX00112,QSXPZ,2024-11-23,566.82
TRX00113,RLGOX,2025-07-22,924.94
TRX00114,MIEMW,2023-09-07,231.16
TRX00115,JJWID,2023-07-01,880.16
TRX00116,OYMLI,2024-08-23,641.58
TRX00117,DQHAI,2023-12-22,864.47
TRX00118,UMQZF,2023-03-07,716.39
TRX00119,JDDSV,2025-09-28,108.81
TRX00120,INHNI,2024-06-10,67.55
TRX00121,GGTYH,2024-10-26,685.52
TRX00122,TRSAK,2023-02-07,898.47
TRX00123,MWWMP,2025-05-30,236.76
TRX00124,YHBZM,2023-03-21,627.89
TRX00125,HHGAR,2024-09-25,228.58
TRX00126,XNWDL,2024-11-26,405.33
TRX00127,AZZQQ,2023-09-26,669.69
TRX00128,AXYOY,2025-01-04,721.28
TRX00129,MTMMR,2023-12-04,248.29
TRX00130,AZVUZ,2023-02-04,909.81
TRX00131,BCIMP,2024-07-07,760.79
TRX00132,YYCDA,2025-11-19,921.97
TRX00133,LOITH,2023-12-26,948.47
TRX00134,OVCIV,2024-01-21,983.2
TRX00135,YBJEX,2025-05-20,980.78
TRX00136,TPUBF,2024-04-16,142.9
TRX00137,BXCZV,2024-06-19,840.69
TRX00138,NGBVW,2023-10-09,510.75
TRX00139,LZDKW,2023-11-22,337.57
TRX00140,JREAW,2025-11-07,881.79
TRX00141,TYZVE,2024-04-06,942.76
TRX00142,AJFYE,2024-03-12,272.29
TRX00143,OABCU,2025-01-21,935.44
TRX00144,ZTZXO,2023-12-06,779.05
TRX00145,KRMWJ,2025-07-14,268.98
TRX00146,BGXNS,2024-12-29,941.78
TRX00147,VBIZB,2023-03-13,454.92
TRX00148,OLBHU,2023-06-21,597.25
TRX00149,GVNWD,2025-08-02,797.56
TRX00150,YSHVQ,2024-01-26,929.05
TRX00151,AVKPZ,2024-04-05,320.28
TRX00152,DZKSV,2025-04-03,339.79
TRX00153,ARSPJ,2025-11-15,514.65
TRX00154,VICTJ,2025-08-22,181.01
TRX00155,RPIKV,2023-06-19,783.89
TRX00156,WXGXO,2025-04-15,743.48
TRX00157,QWUOE,2025-01-05,394.71
TRX00158,XARAG,2024-05-14,984.92
TRX00159,VUOFP,2025-12-07,485.78
TRX00160,WVOUQ,2025-01-01,187.01
TRX00161,BCLEB,2025-07-29,666.09
TRX00162,AQPII,2023-11-08,667.28
TRX00163,TTNBN,2023-02-21,121.42
TRX00164,JBRQO,2024-12-19,502.7
TRX00165,HRYSW,2025-04-18,153.51
TRX00166,VAZZY,2024-05-15,668.46
TRX00167,DJZAM,2024-01-29,470.99
TRX00168,LLYCE,2025-06-25,959.79
TRX00169,XEHEO,2024-07-07,10.36
TRX00170,FEFZT,2024-04-05,377.93
TRX00171,GNGPF,2024-11-03,513.08
TRX00172,MHNQS,2025-11-03,519.3
TRX00173,AFXEB,2023-08-16,325.48
TRX00174,TEYDL,2024-06-07,949.68
TRX00175,KFZJJ,2023-06-19,558.27
TRX00176,XRPCM,2024-06-09,995.1
TRX00177,NMWAM,2024-04-13,101.25
TRX00178,YPPPT,2025-05-07,978.54
TRX00179,XISNZ,2023-12-31,643.09
TRX00180,CTXOA,2025-11-08,105.12
TRX00181,JSMCR,2024-12-30,899.62
TRX00182,SMNDE,2024-03-12,941.22
TRX00183,CURIN,2024-01-15,226.4
TRX00184,DPNXA,2023-12-11,538.9
TRX00185,IRDVA,2025-06-18,442.43
TRX00186,RHBSY,2024-06-30,591.14
TRX00187,HPWQX,2024-01-12,841.57
TRX00188,TOATM,2024-07-31,316.32
TRX00189,AUDNV,2025-08-18,284.29
TRX00190,GZLBI,2025-07-24,34.93
TRX00191,HSTJP,2025-07-11,206.15
TRX00192,KYEQL,2024-05-12,521.23
TRX00193,QKZFI,2023-03-17,547.74
TRX00194,XKSWL,2024-06-06,425.99
TRX00195,ZRLFV,2024-08-29,853.57
TRX00196,FUDMU,2025-11-16,370.01
TRX00197,WNAAY,2024-08-03,810.31
TRX00198,BQYLP,2025-01-17,993.69
TRX00199,PXGAE,2024-11-23,466.18
TRX00200,DWOIX,2024-10-26,336.86
TRX00201,UOCQK,2025-04-12,517.14
TRX00202,FYAVY,2023-10-05,603.85
TRX00203,FPOVH,2024-02-26,882.62
TRX00204,HINKU,2025-12-28,542.67
TRX00205,STXDA,2024-04-13,120.89
TRX00206,OIGGM,2023-05-22,307.67
TRX00207,WDMQA,2025-05-24,943.76
TRX00208,KSXZC,2024-10-07,474.81
TRX00209,LZNSV,2024-09-07,457.22
TRX00210,OKTRC,2024-07-23,832.92
TRX00211,QATRA,2024-12-01,55.93
TRX00212,YGTJZ,2024-12-11,446.25
TRX00213,RGZJQ,2023-12-03,422.54
TRX00214,BIPOG,2023-10-30,313.76
TRX00215,JNKTO,2025-04-09,527.77
TRX00216,PFEEJ,2025-09-28,659.4
TRX00217,IBOVT,2024-06-19,967.58
TRX00218,NAQMB,2025-10-24,269.1
TRX00219,AQTCM,2025-03-30,324.15
TRX00220,MEJMN,2024-10-18,221.37
TRX00221,WHZFD,2024-03-27,919.71
TRX00222,KKVTT,2024-03-29,190.41
TRX00223,TPQSM,2025-04-20,699.04
TRX00224,WSPEC,2023-09-24,293.6
TRX00225,HEAUJ,2024-01-28,677.28
TRX00226,ZXTJO,2024-01-05,49.55
TRX00227,CHPSA,2025-07-29,365.87
TRX00228,GKAZK,2023-04-07,682.89
TRX00229,CVWSS,2025-03-16,60.24
TRX00230,HJWDZ,2023-01-12,84.16
TRX00231,WUMZC,2024-12-04,474.14
TRX00232,GZCKE,2024-08-04,314.23
TRX00233,QEDLK,2024-06-13,807.56
TRX00234,DZJQF,2023-10-20,697.71
TRX00235,LQRBB,2023-05-16,810.3
TRX00236,FMWMN,2023-02-01,67.46
TRX00237,UQEHF,2025-01-20,456.44
TRX00238,CPALY,2024-04-25,555.08
TRX00239,MDQZC,2024-01-07,552.42
TRX00240,ECQRC,2023-09-12,431.92
TRX00241,MMZNF,2023-12-10,227.67
TRX00242,ABNPU,2023-05-05,952.52
TRX00243,SWIAS,2025-02-05,844.19
TRX00244,DPXYK,2025-10-03,153.02
TRX00245,HJLWO,2024-08-09,653.56
TRX00246,QBBXK,2025-05-07,722.7
TRX00247,EWWXI,2023-05-11,162.46
TRX00248,CGCNL,2023-01-13,952.69
TRX00249,GTPLH,2023-12-04,92.7
TRX00250,JIZPG,2024-09-28,437.29
TRX00251,VNTCM,2023-09-20,699.11
TRX00252,JEKFA,2024-04-19,84.88
TRX00253,TOFNH,2024-10-12,679.41
TRX00254,XPTGN,2023-06-01,509.33
TRX00255,IWMFN,2024-10-23,995.28
TRX00256,DQTSU,2025-08-21,398.86
TRX00257,JSXPL,2024-02-11,720.91
TRX00258,KCDBH,2024-03-30,579.07
TRX00259,DCWYC,2025-04-18,73.72
TRX00260,ZTZOT,2024-12-14,124.55
TRX00261,PJODQ,2025-11-29,197.87
TRX00262,MJNQI,2025-08-22,387.21
TRX00263,SZJDF,2025-07-29,44.05
TRX00264,ERSHT,2024-12-01,898.58
TRX00265,HWIXE,2023-12-26,801.23
TRX00266,CKAUO,2023-04-18,407.74
TRX00267,ZGJNH,2023-03-14,484.03
TRX00268,XUMJF,2024-09-15,946.31
TRX00269,BQEWY,2023-09-26,26.01
TRX00270,SWMYV,2023-09-05,165.14
TRX00271,DWOWQ,2024-08-19,847.84
TRX00272,YBXED,2023-03-06,205.72
TRX00273,LDBQZ,2024-06-23,672.12
TRX00274,LDPVW,2025-03-15,715.68
TRX00275,TVFED,2023-06-05,781.79
TRX00276,SMPJX,2023-03-03,804.2
TRX00277,SEMVL,2025-05-28,926.86
TRX00278,MXGHL,2025-07-25,563.58
TRX00279,ISOSM,2024-01-12,485.04
TRX00280,JRLEA,2025-01-31,352.95
TRX00281,NZEYJ,2024-09-09,147.05
TRX00282,BTLLA,2025-06-02,669.06
TRX00283,XSKDM,2025-05-28,436.03
TRX00284,RPFCG,2025-02-16,495.09
TRX00285,IUQAL,2025-10-07,572.55
TRX00286,MJHBX,2025-02-22,229.88
TRX00287,FXYWL,2023-11-23,271.74
TRX00288,IMQAV,2023-08-16,314.2
TRX00289,MKMFJ,2025-03-27,981.46
TRX00290,VQKJX,2024-11-26,162.26
TRX00291,HLOQF,2023-02-19,744.46
TRX00292,ULKHY,2023-11-18,251.65
TRX00293,LFMSB,2024-11-28,374.1
TRX00294,PVZZH,2024-09-25,800.7
TRX00295,NKLHV,2025-05-15,656.57
TRX00296,PQROP,2023-06-29,510.13
TRX00297,QGFBU,2025-06-25,769.56
TRX00298,LAETI,2023-04-12,995.58
TRX00299,DLDTW,2025-11-16,56.53
TRX00300,LBWVT,2024-06-21,383.48
TRX00301,NHFHO,2023-10-13,961.53
TRX00302,MFAZA,2024-01-31,209.95
TRX00303,CBXFE,2024-11-29,995.4
TRX00304,XVXAK,2024-10-07,918.99
TRX00305,AUNBU,2024-01-30,338.05
TRX00306,TFOYX,2023-10-26,786.08
TRX00307,AGJVZ,2024-01-21,770.29
TRX00308,TKIVH,2025-01-30,10.38
TRX00309,RLOET,2024-08-16,99.58
TRX00310,NOTIT,2025-06-06,924.65
TRX00311,CNUPZ,2025-10-24,680.12
TRX00312,LMUKX,2025-01-18,330.62
TRX00313,RDZBA,2023-11-17,740.1
TRX00314,QCBVE,2025-07-20,619.52
TRX00315,XQBPQ,2025-07-08,844.06
TRX00316,JRBLC,2023-06-15,197.58
TRX00317,BMKAJ,2024-06-03,503.82
TRX00318,TVGDD,2023-11-07,943.11
TRX00319,YTBXJ,2023-11-02,173.34
TRX00320,JWEIP,2024-10-16,750.52
TRX00321,TTWSL,2025-03-29,55.35
TRX00322,YAGNX,2024-01-01,327.77
TRX00323,VSZKJ,2023-09-22,283.55
TRX00324,DVQUH,2024-05-06,177.62
TRX00325,LLJDY,2023-11-16,149.22
TRX00326,QJJUC,2025-04-07,948.01
TRX00327,DUTZP,2025-05-05,745.18
TRX00328,WLYQN,2024-10-24,101.12
TRX00329,FJZLP,2024-01-12,35.38
TRX00330,MGWEP,2023-10-27,445.22
TRX00331,JZPBI,2025-10-08,470.59
TRX00332,RSTRK,2025-12-15,302.75
TRX00333,ATIBY,2023-04-02,957.8
TRX00334,BEVMJ,2023-03-15,546.81
TRX00335,EVOBY,2023-04-19,902.49
TRX00336,DFNCA,2025-02-08,959.75
TRX00337,SREQY,2023-12-08,716.55
TRX00338,LGTDT,2024-08-23,324.94
TRX00339,CBRZX,2023-07-27,95.72
TRX00340,YCBSL,2023-09-14,523.71
TRX00341,VSSWU,2025-03-13,813.64
TRX00342,ZLXVD,2025-05-03,265.81
TRX00343,FHZSY,2023-11-27,420.42
TRX00344,AGSSI,2024-05-07,68.61
TRX00345,UOCZY,2025-09-02,688.72
TRX00346,YMNMU,2025-03-15,922.69
TRX00347,WWCFZ,2025-12-10,990.5
TRX00348,XXRLN,2024-08-07,86.18
TRX00349,EBKPP,2023-04-26,956.77
TRX00350,UMDGA,2024-02-16,639.67
TRX00351,MCRAH,2025-05-16,729.24
TRX00352,HHOSF,2023-06-11,34.01
TRX00353,GJDMZ,2025-03-14,927.8
TRX00354,JMLAZ,2025-12-04,557.77
TRX00355,FDIXS,2024-07-03,450.42
TRX00356,JGUCG,2025-10-25,177.08
TRX00357,QYGFX,2024-09-21,771.33
TRX00358,LGDRO,2024-03-03,825.89
TRX00359,GZTGM,2024-11-20,931.39
TRX00360,TIHEG,2024-03-14,972.36
TRX00361,YGAXN,2023-05-17,475.18
TRX00362,AVZHU,2023-05-23,989.04
TRX00363,OGMRW,2024-08-11,265.65
TRX00364,TYPBY,2025-02-20,275.39
TRX00365,KFBVU,2025-12-27,193.2
TRX00366,KSUPB,2025-12-10,463.12
TRX00367,DCLDU,2023-08-06,644.49
TRX00368,SJVUO,2024-12-02,948.19
TRX00369,HCPZM,2024-05-25,714.55
TRX00370,FWIBZ,2025-02-28,172.99
TRX00371,WSKSU,2025-08-06,136.95
TRX00372,JKPRG,2023-07-31,252.61
TRX00373,MXEIF,2025-04-13,489.38
TRX00374,SPLLC,2023-08-19,419.73
TRX00375,IRJOJ,2024-06-25,816.75
TRX00376,JHDDZ,2025-09-22,349.47
TRX00377,RMAYX,2024-02-03,897.13
TRX00378,RDJIU,2023-04-28,168.46
TRX00379,HQUPK,2025-02-05,789.37
TRX00380,ELYIE,2024-08-24,993.97
TRX00381,AQSGY,2024-03-01,459.45
TRX00382,VCXHG,2024-06-18,818.79
TRX00383,BKPLF,2024-12-10,903.05
TRX00384,UDTTI,2025-08-14,747.04
TRX00385,UBYVW,2023-10-07,584.15
TRX00386,RCGWI,2025-11-27,795.89
TRX00387,IZZQE,2025-08-27,399.21
TRX00388,QWNYW,2025-07-22,197.67
TRX00389,SEFUI,2024-04-11,959.08
TRX00390,NEGOB,2023-12-22,553.7
TRX00391,ZHUKN,2024-01-15,446.9
TRX00392,LPEDL,2025-07-29,579.71
TRX00393,SPJHE,2023-09-30,871.11
TRX00394,AWYCR,2024-01-23,802.8
TRX00395,QRNPM,2023-04-25,411.99
TRX00396,ZBCEC,2025-07-04,609.92
TRX00397,HGDGV,2025-12-08,204.38
TRX00398,HVCBE,2023-05-31,420.51
TRX00399,DMMSI,2024-07-14,759.82
TRX00400,HJYCQ,2024-05-02,790.52
TRX00401,TRIYN,2024-05-03,480.24
TRX00402,ANTHA,2024-06-30,268.57
TRX00403,WLRGL,2025-01-16,76.98
TRX00404,ZWXRP,2025-09-27,392.33
TRX00405,VFGYM,2023-07-18,572.15
TRX00406,HRRMV,2023-05-17,342.79
TRX00407,IANVM,2023-02-28,136.15
TRX00408,IRCLO,2025-01-26,803.9
TRX00409,HHKDA,2025-10-17,940.27
TRX00410,ZGIJO,2025-04-30,836.28
TRX00411,DXWZH,2025-10-22,74.82
TRX00412,RXGMZ,2023-01-26,499.74
TRX00413,HKUMQ,2024-11-28,890.76
TRX00414,KLQMZ,2025-02-11,155.88
TRX00415,DNTXT,2025-09-22,162.03
TRX00416,JDRBC,2025-08-27,518.33
TRX00417,JQLQC,2024-08-12,251.92
TRX00418,UDLPF,2025-04-16,827.9
TRX00419,QWFNK,2023-07-18,197.44
TRX00420,ZRQVP,2023-01-27,194.39
TRX00421,PNQXM,2023-10-19,15.11
TRX00422,HGVEN,2024-03-05,723.38
TRX00423,OXTYR,2024-09-13,996.05
TRX00424,KHEPS,2023-05-16,926.23
TRX00425,XVZPG,2024-12-13,788.27
TRX00426,TIXZR,2024-03-10,424.86
TRX00427,FVSDG,2023-07-12,59.54
TRX00428,UPQKB,2024-02-24,228.25
TRX00429,TFZAL,2024-10-25,443.47
TRX00430,VHGAK,2024-03-24,626.46
TRX00431,QJCGU,2023-11-30,300.49
TRX00432,YTBKF,2025-09-21,858.49
TRX00433,JJSBG,2024-05-04,79.08
TRX00434,FPJMG,2024-03-26,874.66
TRX00435,YBQJY,2025-07-18,257.22
TRX00436,SRZBD,2023-11-23,822.4
TRX00437,ONEBM,2024-03-20,703.25
TRX00438,GXVGM,2024-05-17,395.01
TRX00439,ASOTD,2025-07-17,882.85
TRX00440,IBGWU,2025-03-13,747.18
TRX00441,ITQHW,2025-08-22,413.6
TRX00442,GERKZ,2025-02-05,685.47
TRX00443,JRMXQ,2025-03-03,432.44
TRX00444,LMXCP,2024-09-05,78.04
TRX00445,MXJBW,2023-03-07,944.44
TRX00446,ZNTON,2025-04-12,152.01
TRX00447,JFSYY,2025-01-23,964.12
TRX00448,BLNRZ,2024-03-24,376.66
TRX00449,WBCMU,2024-03-31,86.87
TRX00450,RZHAD,2025-06-14,20.73
TRX00451,AFBYH,2023-03-04,348.28
TRX00452,CXCRO,2025-01-19,584.15
TRX00453,TRRRK,2025-10-16,922.26
TRX00454,OFRKS,2023-01-17,709.05
TRX00455,PWNBH,2023-01-10,803.75
TRX00456,FEREX,2023-11-09,582.73
TRX00457,SZZPC,2024-11-01,594.32
TRX00458,JQFDG,2023-03-19,919.25
TRX00459,CGAXU,2023-04-01,337.88
TRX00460,ATPBV,2023-12-17,63.0
TRX00461,ZBEMV,2024-09-08,895.46
TRX00462,LDEUM,2024-04-29,66.76
TRX00463,CWTTA,2024-02-24,191.01
TRX00464,TSEXB,2024-10-17,122.37
TRX00465,JFAHN,2024-10-14,956.81
TRX00466,WREAB,2024-08-07,415.97
TRX00467,AEPIN,2024-04-10,415.33
TRX00468,AUQNY,2024-05-27,644.21
TRX00469,CNXJR,2024-07-31,246.59
TRX00470,YNMXK,2024-11-20,790.89
TRX00471,QVNND,2024-02-15,819.53
TRX00472,KEWTH,2025-09-13,59.46
TRX00473,KVJLG,2023-02-12,472.48
TRX00474,NNQFY,2025-10-18,451.73
TRX00475,SNILF,2023-07-06,811.37
TRX00476,ASZOK,2025-09-10,549.03
TRX00477,EMHQD,2024-09-08,207.42
TRX00478,IMXMH,2023-11-24,460.56
TRX00479,YEVJI,2023-03-30,453.08
TRX00480,IMDZE,2025-06-28,110.6
TRX00481,EDRQL,2023-11-15,682.65
TRX00482,QZSDG,2023-09-23,790.79
TRX00483,CZZZQ,2024-04-13,744.03
TRX00484,QOBLO,2023-12-24,627.53
TRX00485,HBTKM,2024-08-18,568.14
TRX00486,SAYWG,2023-01-29,601.6
TRX00487,CLXPO,2025-03-25,427.09
TRX00488,ASITS,2023-06-05,949.41
TRX00489,TGQTU,2025-03-02,431.16
TRX00490,LFXWV,2025-03-20,308.4
TRX00491,LQREB,2023-05-03,950.26
TRX00492,WFXGK,2023-04-22,950.33
TRX00493,LSIQY,2025-10-20,245.39
TRX00494,TYNNU,2025-03-31,572.82
TRX00495,ATQZA,2025-10-05,840.85
TRX00496,RNIPR,2023-01-28,144.93
TRX00497,TEDKI,2024-09-30,852.17
TRX00498,DEHPZ,2024-12-29,597.58
TRX00499,EGJUF,2024-07-09,959.74
TRX00500,HDKJV,2023-12-12,875.29
TRX00501,BHVEW,2023-09-18,550.75
TRX00502,DMJVX,2025-10-19,165.83
TRX00503,SPOGI,2023-09-12,83.5
TRX00504,APPJX,2024-04-10,126.39
TRX00505,QANKC,2025-12-13,227.16
TRX00506,VKQKZ,2023-07-02,986.6
TRX00507,YCJEU,2025-01-18,993.87
TRX00508,KUXWV,2025-06-26,612.04
TRX00509,FLDET,2024-03-24,904.82
TRX00510,KIBRA,2023-12-01,288.29
TRX00511,DZZCC,2023-09-19,700.39
TRX00512,NWLSG,2025-11-12,123.47
TRX00513,WSAWG,2023-12-23,793.97
TRX00514,YMVQX,2024-01-19,282.04
TRX00515,GLJGV,2025-05-13,182.74
TRX00516,LUEIH,2024-07-04,360.65
TRX00517,SEUVM,2023-07-20,660.74
TRX00518,PPWGU,2023-01-18,852.77
TRX00519,FGUAZ,2023-10-07,802.61
TRX00520,BUXYV,2024-04-14,464.79
TRX00521,FITUK,2023-03-05,789.43
TRX00522,LUYZQ,2024-02-09,611.55
TRX00523,VGCLF,2025-07-18,837.84
TRX00524,XXPJW,2025-03-28,339.04
TRX00525,ZUTRE,2024-09-16,805.82
TRX00526,BYMYL,2025-10-04,184.77
TRX00527,UBKFV,2024-05-31,452.62
TRX00528,QQNOF,2024-06-30,434.76
TRX00529,KESMD,2024-01-04,987.67
TRX00530,VWBDV,2025-02-02,544.71
TRX00531,IZBFI,2023-11-19,785.8
TRX00532,VSUBN,2024-07-08,251.62
TRX00533,KAAMY,2024-08-01,378.17
TRX00534,VURXC,2023-03-18,422.44
TRX00535,MGDIF,2025-12-28,89.62
TRX00536,MNGFV,2024-10-18,965.55
TRX00537,ZMPBT,2023-04-18,915.99
TRX00538,YRKOX,2023-10-09,614.25
TRX00539,OROTC,2023-01-29,83.71
TRX00540,ZHAAP,2025-03-16,83.51
TRX00541,ZJRNQ,2024-05-14,746.28
TRX00542,UQHOO,2023-09-04,202.48
TRX00543,SQTTP,2025-10-14,186.37
TRX00544,NQCGU,2025-05-03,587.71
TRX00545,IMFGB,2024-04-09,402.93
TRX00546,WUNRY,2024-06-20,155.92
TRX00547,VBKII,2023-02-05,797.22
TRX00548,WBGGN,2023-02-23,334.52
TRX00549,YRXQF,2024-08-16,771.87
TRX00550,JHWOC,2025-09-10,300.55
TRX00551,KWTAY,2025-02-23,650.96
TRX00552,GIMCE,2025-07-02,739.21
TRX00553,AWUTG,2023-06-21,21.23
TRX00554,AKDTQ,2024-12-03,106.1
TRX00555,AORTE,2023-03-10,299.67
TRX00556,RZLDU,2025-04-07,42.47
TRX00557,RXOCJ,2024-11-26,889.22
TRX00558,PCQCO,2025-03-31,832.44
TRX00559,HWHMB,2023-04-12,83.92
TRX00560,MAROF,2024-09-30,590.02
TRX00561,WWHVE,2025-08-08,654.39
TRX00562,XOKTS,2024-09-23,580.44
TRX00563,YZLWQ,2024-01-06,265.73
TRX00564,PEWIA,2024-01-12,332.82
TRX00565,RLPQK,2025-06-23,513.88
TRX00566,ZUPLO,2024-09-20,507.83
TRX00567,OMDYT,2024-11-21,893.56
TRX00568,XYLWB,2023-05-19,167.82
TRX00569,RVRCI,2023-07-02,741.79
TRX00570,HRRLB,2023-09-22,215.42
TRX00571,QONDR,2024-05-03,154.52
TRX00572,UQPKY,2024-07-30,985.06
TRX00573,SLZYK,2025-01-16,958.13
TRX00574,XKAKC,2024-02-16,734.83
TRX00575,XENCD,2023-05-23,336.6
TRX00576,FFDGD,2025-12-19,49.28
TRX00577,SIIOA,2025-02-07,38.23
TRX00578,IYQPM,2023-09-18,175.08
TRX00579,GKBJO,2025-12-18,908.91
TRX00580,DPRHH,2023-03-06,655.04
TRX00581,VWDFJ,2023-06-19,561.16
TRX00582,SUYZD,2024-07-31,244.73
TRX00583,NQZJL,2023-10-23,572.06
TRX00584,THGCC,2025-05-20,917.79
TRX00585,GVBTU,2025-07-07,301.38
TRX00586,POHJX,2025-11-15,203.02
TRX00587,TTSDS,2023-08-27,878.43
TRX00588,UBSDA,2024-05-23,506.33
TRX00589,DFCTA,2024-02-04,672.35
TRX00590,ZAHED,2024-01-21,664.06
TRX00591,RTBZQ,2023-10-22,547.43
TRX00592,UOKTC,2023-07-11,537.21
TRX00593,VBCDD,2025-07-14,533.55
TRX00594,GLUTY,2024-09-12,503.49
TRX00595,QNRYP,2025-12-21,519.36
TRX00596,YVKUT,2024-09-26,815.07
TRX00597,MWPKC,2024-08-24,358.29
TRX00598,YTCYY,2023-10-10,443.62
TRX00599,MLMTX,2024-04-02,194.06
TRX00600,JOMLG,2025-09-14,278.9
TRX00601,DMOJZ,2023-08-24,630.82
TRX00602,HUPLV,2025-04-30,42.68
TRX00603,YBTBS,2025-03-06,479.76
TRX00604,NVKCN,2023-09-05,213.16
TRX00605,YIYRA,2023-05-26,853.21
